"","p","freq","freq.pred","pred.lwr","pred.upr","bino.pred","bino.lwr","bino.upr","model","ci.mean","SE","zstat","p_value","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"08f426f4a206c222537c13c3b1735a9a",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria",NA,NA
"0b360c5c5d4b3d15084a8a033cdeae5e",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria",NA,NA
"1f10b050b485c6107099df918bea93a5",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Gracilibacteria","Gracilibacteria","Gracilibacteria",NA,NA
"33e500c16a4914748177202973eee64f",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peribacteria","Candidatus_Peribacteria",NA,NA
"420a5ea6c091b0fb363388dd28cfc8c7",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22","JGI_0000069-P22",NA,NA
"4666904df5455daa96da74d1c394eeb7",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Gracilibacteria","Candidatus_Peregrinibacteria","Candidatus_Peregrinibacteria",NA,NA
"5e3a7d60158347d44920be82b3a2206a",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)",NA,NA
"64477177f807ac120b7dd13bf4e3958d",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Parcubacteria","Unclassified Parcubacteria","Unclassified Parcubacteria",NA,NA
"7e08b8d750234f1a00ba61b80e863566",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Parcubacteria","Candidatus_Campbellbacteria","Candidatus_Campbellbacteria",NA,NA
"85243a78ff5fad8d039d37c22157394e",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria",NA,NA
"9829c0e87c39bce84f09b097f25f0a18",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia",NA,NA
"aaaf1a6b4f607f9a3a175332ab0032ac",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae",NA,NA
"b42266c7a513bb7fbf6278c14d699577",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia",NA,NA
"bce312a197fbf1521d3ec51fdccbf563",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Archaea","Asgardarchaeota","Heimdallarchaeia","Heimdallarchaeia","Heimdallarchaeia",NA,NA
"cbff30a7712ff77517720ffd1e3be508",1.88679245283019e-05,0.0188679245283019,0.00100592907004325,7.95578426023288e-06,0.113038690838589,0.0186912141463943,0.00328534643967741,0.0991526915878064,"neutral",0.113030735054329,0.0288343711873288,0.65435533189617,0.52345928435206,188.445342366742,"d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II",NA,NA
"28fc39cb8cb91682be7760bcfd9ba588",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Thermoplasmatota","Thermoplasmata","uncultured","uncultured",NA,NA
"440df70c595848bf14dbb3c4ef86c3ae",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1",NA,NA
"51d48742d8b38d9e54b81b007b8113d1",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae",NA,NA
"6d7e1ef5352b29025e1584b9f0b92822",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Halobacterota","Halobacteria","Halobacterales","Halococcaceae",NA,NA
"78f35243032567258f5f99b427431be8",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Unclassified Woesearchaeales",NA,NA
"8052442adb4358203a27a29dbd7829f1",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC_AAA011-D5",NA,NA
"c40185b5735e35db6bdd932311fe2a9f",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC_AAA286-E23",NA,NA
"cbcc6efe329a1f4b0cf8669c2d6b2345",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","Woesearchaeales",NA,NA
"dc05efbad2a788ba7fa36b32dbf2556a",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"e4deb8a52d9d2ed79a89a358b14ebd09",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Proteobacteria","Unclassified Proteobacteria","Unclassified Proteobacteria","Unclassified Proteobacteria",NA,NA
"e75225f4b7a09175913ffe53e0482afb",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae",NA,NA
"ef714a8804728aa95a3cadbf52a82985",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Unclassified Rickettsiales",NA,NA
"f37fbf9ab7a57bdcbf6df971ef61d7cc",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA
"f570c7ebd1f261c64c70fc7c6e49862e",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae",NA,NA
"f693672e25016f2899a6c85aa6e0878f",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae",NA,NA
"f9aca1932f04c4c7416037dd149e0272",3.77358490566038e-05,0.0188679245283019,0.00201096988260987,3.13067438735075e-05,0.114801782586252,0.037033409634255,0.01010601144507,0.126537213466277,"neutral",0.114770475842378,0.0292781826128516,0.644436329187312,0.530028292441367,190.810185278892,"d__Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae",NA,NA
"1d4fe2495302085732bfbf1143c75963",5.66037735849057e-05,0.0377358490566038,0.0030151230366188,6.93231518032678e-05,0.116548631087824,0.0550330972426731,0.0186302295473734,0.151579461216142,"neutral",0.116479307936021,0.0297141091673523,1.26996400410567,0.205667897989253,74.0404432761311,"d__Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales","Dadabacteriales",NA,NA
"26b78edd733c743faed2733835963cd8",5.66037735849057e-05,0.0377358490566038,0.0030151230366188,6.93231518032678e-05,0.116548631087824,0.0550330972426731,0.0186302295473734,0.151579461216142,"neutral",0.116479307936021,0.0297141091673523,1.26996400410567,0.205667897989253,74.0404432761311,"d__Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae",NA,NA
